company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
OVO Energy,CA62-WING-PR-2FB0,Wingham,Peak Reduction,2025-06-18T15:00:00+01:00,2025-06-18T19:00:00+01:00,0.0,0.03,0.0,52.75,0.0,0.12,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 14:00:00+00:00,2025-06-18 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,6930-WING-PR-A426,Wingham,Peak Reduction,2025-06-18T15:00:00+01:00,2025-06-18T19:00:00+01:00,0.0,0.01,0.0,52.73,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 14:00:00+00:00,2025-06-18 18:00:00+00:00,14:00:00+00:00
OVO Energy,CA62-EAST-PR-5288,East Enfield,Peak Reduction,2025-06-18T12:00:00+01:00,2025-06-18T14:00:00+01:00,0.0,0.01,0.0,553.85,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-18 11:00:00+00:00,2025-06-18 13:00:00+00:00,11:00:00+00:00
Ohme,OHME-THOR-LTU-B4F8,Thorpe Grid 33,Long-Term Utilisation,2025-06-18T11:30:00+01:00,2025-06-18T13:00:00+01:00,0.0,0.07,0.0,23.0,0.0,0.1,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-18 10:30:00+00:00,2025-06-18 12:00:00+00:00,10:30:00+00:00
Ohme,OHME-BRAM-LTU-215D,Bramford Diss Thetford,Long-Term Utilisation,2025-06-18T11:00:00+01:00,2025-06-18T15:00:00+01:00,0.0,0.07,0.0,11.0,0.0,0.28,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 10:00:00+00:00,2025-06-18 14:00:00+00:00,10:00:00+00:00
Octopus,OCTO-FELT-LTU-4C46,Feltwell,Long-Term Utilisation,2025-06-18T11:00:00+01:00,2025-06-18T13:30:00+01:00,0.0,0.031,0.0,670.0,0.0,0.08,EV Charger DSR,demand_turn_down,2.5,epex,2025-06-18 10:00:00+00:00,2025-06-18 12:30:00+00:00,10:00:00+00:00
Octopus,OCTO-MARC-LTU-738D,March Primary,Long-Term Utilisation,2025-06-18T11:00:00+01:00,2025-06-18T11:30:00+01:00,0.0,0.248,0.0,86.0,0.0,0.12,EV Charger DSR,demand_turn_down,0.5,epex,2025-06-18 10:00:00+00:00,2025-06-18 10:30:00+00:00,10:00:00+00:00
Axle Energy Limited,march-primary-lt_saou-ev-c1-portfolio,March Primary,Scheduled Availability,2025-06-18T11:00:00+01:00,2025-06-18T11:30:00+01:00,0.013,0.0,52.0,0.0,0.01,0.0,EV Charger DSR,demand_turn_down,0.5,epex,2025-06-18 10:00:00+00:00,2025-06-18 10:30:00+00:00,10:00:00+00:00
Ohme,Selwyn Road,Selwyn Road,Peak Reduction,2025-06-18T11:00:00+01:00,2025-06-18T15:00:00+01:00,0.0,0.01,0.0,130.77,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-18 10:00:00+00:00,2025-06-18 14:00:00+00:00,10:00:00+00:00
Ohme,Kimbolton,Kimbolton,Peak Reduction,2025-06-18T09:00:00+01:00,2025-06-18T17:00:00+01:00,0.0,0.01,0.0,59.62,0.0,0.08,EV Charger DSR,demand_turn_down,8.0,epex,2025-06-18 08:00:00+00:00,2025-06-18 16:00:00+00:00,08:00:00+00:00
